post_text	is_reply	comment_message	comment_published	comment_like_count	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	1	Essa é uma reclamação que estou ouvindo muito, Rose. Os CEUs deveriam funcionar efetivamente, da maneira como foram planejados em minha gestão. São lugares que deveriam trazer cultuira, esporte e lazer para as pessoas. A prefeitura atual não está dando o apoio necessário e isso precisa mudar.	2016-09-02T15:40:19+0000	1	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	1	Muito obrigada pela atençao. O Ceu é essencial à população de baixa renda. Ou renda 0.	2016-09-02T15:53:44+0000	1	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	1	A única opção aliás.	2016-09-02T15:54:33+0000	0	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	OK. E quantos funcionam? Tem voltado em algum deles? Eu estive em 3 este ano. Sem atividade. Help!	2016-09-02T12:17:12+0000	0	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	Essa mulher fez bastante coisa mesmo independente de qual partido marta fez muita coisa sim .ela errou em algumas coisas mas precisa de ter caráter de assumir o erro e isso ela assumiu eu voto #15	2016-09-02T13:32:25+0000	1	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	porque CÉUS de verdade, só com Marta!...os outros fazem alguns predinhos e chamam de territorio céu!...estou cansado de marketing barato!	2016-08-31T19:05:44+0000	5	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	Marta fez mais com menos, #MartaNeles	2016-09-01T06:20:10+0000	3	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	#EducaçãoEvolução é com #Marta15	2016-09-01T13:33:12+0000	2	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	#TeamMarta	2016-08-31T19:51:27+0000	2	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	#PrefeitaPerfeita pra SP!	2016-08-31T19:09:33+0000	3	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	Marta que fará com teg? Estamos tão defasados mudou pra prior tios ou comem ou fazem manutenção carro	2016-08-31T21:53:10+0000	1	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	Mais CEUs viva! Todas as escolas deveriam ser CEUs  :)	2016-09-02T05:17:48+0000	2	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	Marta  estamos com voce bom trabalho	2016-09-01T13:23:41+0000	1	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	Ah vá, a senhora lembra do aumento salarial que os professores tiveram na sua gestão? Faz me rir	2016-09-03T04:09:54+0000	0	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0	+ CEUs , São Paulo agradece :)	2016-09-03T01:35:28+0000	1	
Quero levar Educação de qualidade  com esporte  cultura e lazer para mais regiões de São Paulo. Quando fui prefeita  já comecei esse trabalho ao construir 21 CEUs e deixar outros 24 projetados. Agora  vou entregar 14 novas unidades por toda cidade. #Marta15 #CoragemPraMudar	0		2016-09-04T19:39:22+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Martinha,  mulher de fibra, garra o seu feito estará sempre marcado, corredor de ônibus e bilhete único facilitou e muito a vida dos paulistanos.  Parabéns.	2016-08-31T16:16:12+0000	5	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Senadora, desculpa usar este espaço, mas permita que eu te agradeça! Obrigado por ter falado por mim e por muitos outros milhões hj!!! Sucesso, e rumo a prefeitura de SP!	2016-08-31T17:25:54+0000	5	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Marta é mais com menos e sabendo escolher as prioridades, dá para fazer!	2016-08-31T17:58:30+0000	3	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Talvez ganhe meu voto em um eventual segundo turno . Porém quero que seja objetiva . Radar já chega em sp!!! Policia não e pra ficar em cima da ponte multando.. E o chega inrrestrito as ciclovias	2016-09-02T02:38:01+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Marta Parabéns pela sua coragem e garra pois estamos contigo até o fim . #MartaNeles #CoragemPraMudar	2016-08-31T20:32:46+0000	1	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	espero que não planeje acabar com com o bilhete mensal, e dê sequencia também às faixas exclusivas (fácil implantação e beneficio à curto prazo).	2016-09-01T02:48:15+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Marta precisa tirar os elevador dos ônibus obrigar os donos das empresas a colocar os carros todos piso baixo muitos idosos não consegui subir com esses de graus altos obrigado	2016-09-01T03:09:09+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Marta quais são seus objetivos nas vias e asfalto público e qual será seu posicionamento em eventos  cultural como prefeita de são Paulo ?	2016-09-01T11:04:32+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	#Marta15 é corredor de ônibus, vai e volta, é #BilheteÚnico	2016-09-01T13:32:54+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Sim é você divota paragete	2016-09-01T10:46:03+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	O bilhete precisa voltar ser de 8 hs no domingo e em feriado	2016-09-01T13:24:43+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Martinha, conto contigo! Bjs	2016-08-31T20:08:49+0000	1	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Marta, fiquei uns meses desempregado e quase que tive de cortar meu futebol semanal pra economizar uma grana. Trabalhando qualquer despesa é despesa, mas desempregado a coisa é muito pior. Com R$ 3,80 todas as quarta-feiras vou e volto Graças ao Bilhete Unico que você criou quando foi Prefeita. Assim não pesa muito no meu orçamento e não precisei cortar meu esporte preferido  	)	2016-09-02T05:23:21+0000	0
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0		2016-09-01T19:42:18+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0		2016-09-01T00:52:01+0000	0	
Antes de ser prefeita  me comprometi a mudar o transporte de São Paulo. Criei o Bilhete Único e os corredores de ônibus  ajudando pessoas como a Alda a economizar tempo e dinheiro. Agora  vou criar mais seis corredores pra beneficiar ainda mais pessoas. #Marta15 #MartaFez	0	Miguel Bastos	2016-08-31T16:09:43+0000	0	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	1	Michel, obrigada pelas palavras. Tenho muito carinho pela sua amada Parelheiros. Foi uma das regiões que mais cresceram em nosso mandato. Pode confiar que jamais esquecerei de vocês.	2016-08-31T14:06:49+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	1	💪✌👏👏👏👏👏👏👏👏👏👏	2016-08-31T14:10:24+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	1	Isso é verdade! Beneficiou trabalhadores e pequenas empresas. Foi uma revolução! Sem falar na troca dos veículos velhos, estragados por veículos novinhos, limpos...	2016-08-31T23:46:29+0000	2	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	1	Que essa eleição seja sua Marta! Sao Paulo esta precisando de você!  #Pracimadeles 👏👏	2016-09-01T16:11:10+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Me lembro que quando o bilhete unico foi criado eu trabalhava de Office Boy no Cambuci,  eu Pegava 3 condução para ir , saia de Parelheiros as 5 horas da amanhã  para estar no serviço as 7:15. Com a implantação do bilhete unico me ajudou a ficar no meu serviço por que ai meu patrão tinha pouca dispesa com condução para eu ir e vir do trabalho , me ajudou muito também nos serviços que eu fazia na rua por que também gerava uma economia para meu patrão em relação a condução. Obrigado Marta,  espero que volte esse ano e ajude novamente São Paulo  e meu amado Parelheiros.	2016-08-31T14:02:48+0000	8	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	1	Joyce, há muita coisa errada na cidade. Por favor, continue mostrando sua indignação. É com esse diálogo que vamos saber qual é o real problema para o povo e como poderemos resolver essas situações.	2016-08-31T14:08:02+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	1	Obrigado	2016-08-31T14:08:38+0000	0	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	VC foi a melhor que olho por nós da     extremidade sul...Como dizem ...barragem tá só por Deus fizeram umas obra na rua que só piorou colocaram guias pra vim o asfalto até hoje quando chove só por Deus. ..ESPERO QUE GANHE E NÓS AJUDE ...JÁ TEM MEU APOIO...	2016-08-31T13:50:56+0000	2	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Eu pego 2 ônibus pra ir pro trabalho... Sem o #BilhetoÚnico eu gastaria o dobro, mais 167 reais no mês. No total, poderia ultrapassar 334 reais mensais. Quase meio salário mínimo. Obrigado Marta, seus projetos geram economia para todos os cidadãos! #VoltaMarta #Marta15	2016-08-31T13:25:33+0000	2	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Eu achei super humilde de ti assumir os erros durante sua campanha para prefeita. Apesar de ser morador de Osasco e relativamente jovem, tenho memoria de como era o transporte e o ensino público da capital  (pré-Marta) e como você de certa forma revolucionou a cidade em apenas 4 anos, sucedendo o fracasso da gestão anterior do Pitta. Os resultados estão ai até hoje e sendo copiados dentro da capital e fora dela. Em Osasco, tentaram copiar algumas soluções por ti implantadas, mas até hoje elas não estão concluidas. Não voto em São Paulo, mas a admiro como mulher e como politica e acredito em você e no seu potencial.	2016-09-01T00:18:01+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Lindo Adriana Campos fala bem parabéns Marta obrigado por não nos abandona  Mas para ser melhor você tem que voltar  Parelheiros quer Marta outra vez  15	2016-08-31T15:19:23+0000	2	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Trabalhei em suas campanhas, hoje com 62 dois anos fica difícil de trabalhar, marta elabore programas de trabalho para idoso bjs.	2016-08-31T14:18:53+0000	2	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Parabéns Dri Adriana Campos  Muito bom o vídeo amore  MARTA NELES SOMOS TODOS 15	2016-08-31T15:22:03+0000	2	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Parabéns marta  eu lembro que eu andava de pé  da lapa para pinheiros para  o trabalho  graças marta td mudar	2016-08-31T22:24:22+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	claro que lembro, Marta fora isso arruma São Paulo, o centro está destruido.	2016-08-31T13:27:22+0000	3	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	A economia é importante, mas no meu caso o tempo é fundamental. Não preciso mais ficar esperando determinado ônibus para chegar ao destino.  Troco vários ônibus em uma viagem para chegar ao destino mais rápido, com uma única passagem. Tempo também é dinheiro :)	2016-08-31T13:56:46+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Parabéns amiga, ficou ótima a gravação. É isso ai, vamos lutar para termos a Marta novamente.	2016-08-31T23:28:25+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Adriana Campos olha elaaaaa👏👏👏👏 Adorei o vídeo, ficou show de bola e surpreendente... 😘😘😘	2016-09-03T06:07:40+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	#Marta15 #CoragemPraMudar	2016-09-14T23:00:23+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Conheço esse lugar	2016-08-31T13:09:52+0000	2	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	verdade Marta!  vc fez muito pelos trabalhador...agora faça  pelos moradores que vive morando próximo o rio,e  quando chove ninguém consegue dormir de preocupação	2016-08-31T13:24:41+0000	2	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0		2016-09-01T11:46:38+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	\0/ Bilhete Unico Valeu Marta (y)	2016-09-02T05:24:08+0000	0	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Iolanda Martins a moça é do São José	2016-08-31T14:46:56+0000	1	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	E isso, senadora????? https://www.youtube.com/watch?v=RWPZCyQxzXw	2016-09-02T03:26:33+0000	0	
Muitos podem não lembrar  mas antes de eu criar o Bilhete Único  toda vez que alguém pegava uma condução  tinha que pagar uma passagem. Se o Bilhete não existisse  a Adriana gastaria R$ 22 80 só pra ir para a fisioterapia. Hoje  gasta R$ 7 60. #Marta15 #CoragemPraMudar	0	Wanderson Roberto	2016-08-31T13:02:38+0000	2	
